Node 1	Node 2
335112118090403	arsenic
335112118090403	chromium
335112118090403	manganese
335112118090403	cadmium
335112118090403	lead
335112118090403	radium-228
335112118090403	iron
335112118090403	nickel
phosphorus	335716118135101
phosphorus	334837118085704
phosphorus	343000118270001
phosphorus	334815118184701
phosphorus	335431118173101
phosphorus	335943118042231
phosphorus	335943118042226
phosphorus	344910117533105
phosphorus	334737118101905
phosphorus	340900117550001
phosphorus	340235118295901
phosphorus	11105410
phosphorus	334747118132304
phosphorus	335555118204003
phosphorus	340321118000501
phosphorus	335524118152001
phosphorus	335100118120401
phosphorus	344752118241902
phosphorus	340624117434301
phosphorus	342505118053701
phosphorus	334615118131001
phosphorus	335112118090404
phosphorus	342300117430001
phosphorus	335943118042221
phosphorus	340742118144801
phosphorus	343717118063601
phosphorus	335112118090405
phosphorus	335943118042243
phosphorus	335609118000101
phosphorus	341300118243801
phosphorus	342144118181601
phosphorus	340303117434701
phosphorus	334841118140002
phosphorus	11105500
phosphorus	340400118230001
phosphorus	335943118042227
phosphorus	334737118101901
phosphorus	340700118130001
phosphorus	334836118061201
phosphorus	344835117531301
phosphorus	335943118042211
phosphorus	335236118232101
phosphorus	335239118061504
phosphorus	335801118213103
phosphorus	340040118100901
phosphorus	341100118240001
phosphorus	335302118072201
phosphorus	342900118190001
phosphorus	342600118170001
phosphorus	342526118322101
phosphorus	340106118134804
phosphorus	340157118413103
phosphorus	343331118014901
phosphorus	343851118083801
phosphorus	335013118142502
phosphorus	336626118255150
phosphorus	340607118034801
phosphorus	340333117431001
phosphorus	342600118190001
phosphorus	343600118260001
phosphorus	344752118241901
phosphorus	341900117490001
phosphorus	344753118241801
phosphorus	334837118085701
phosphorus	335943118042216
phosphorus	11103010
phosphorus	335943118042212
phosphorus	340248118352401
phosphorus	340618117573401
phosphorus	335900118220001
phosphorus	335943118042244
phosphorus	340703117421901
phosphorus	340715118055401
phosphorus	335943118042209
phosphorus	334445118125301
phosphorus	335943118042229
phosphorus	335112118090406
phosphorus	342200117430001
phosphorus	335314118223801
phosphorus	343546118091601
phosphorus	343222117552901
phosphorus	335943118042247
phosphorus	335643118105801
phosphorus	343713117485101
phosphorus	340112118033701
phosphorus	335535118123905
phosphorus	335943118042225
phosphorus	340900118170001
phosphorus	340203118410701
phosphorus	343300118280001
arsenic	334837118085706
arsenic	340248118352401
arsenic	335352118044001
arsenic	340040118100901
arsenic	344753118241801
arsenic	342700118110002
arsenic	343811118050601
arsenic	335917118141002
arsenic	344120118081301
arsenic	344109118092401
arsenic	341000118220001
arsenic	335849118112204
arsenic	335333118140606
arsenic	341930117561301
arsenic	344004118102801
arsenic	340552117584003
arsenic	335524118152002
arsenic	335723118245501
arsenic	340303117434701
arsenic	335258118002401
arsenic	335943118042211
arsenic	334837118090301
arsenic	335337118113401
arsenic	335443118031901
arsenic	341200118240001
arsenic	10278300
arsenic	335443118215506
arsenic	334710118145802
arsenic	335609118000101
arsenic	335337118113402
arsenic	343822118051901
arsenic	335126118155806
arsenic	335236118232102
arsenic	340205118410101
arsenic	335943118042244
arsenic	335312118200702
arsenic	335239118061504
arsenic	340155118404701
arsenic	335131118204504
arsenic	335733118164702
arsenic	343334118083301
arsenic	335235118175905
arsenic	343903118074801
arsenic	335239118061503
arsenic	344910117533102
arsenic	335946118042101
arsenic	344910117533105
arsenic	335733118164701
